"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 07:28:52 GMT 2025","Thu Oct 23 07:28:53 GMT 2025","373","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithValidCredentials","Login with valid credentials after registration","Verifies successful login with valid credentials"
"passed","Thu Oct 23 07:28:51 GMT 2025","Thu Oct 23 07:28:52 GMT 2025","261","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterUserWithLongValues","Register user with very long values","Verifies registration with very long field values"
"passed","Thu Oct 23 07:28:53 GMT 2025","Thu Oct 23 07:28:53 GMT 2025","102","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithLongCredentials","Login with very long credentials","Verifies API handles very long credentials"
"passed","Thu Oct 23 07:28:51 GMT 2025","Thu Oct 23 07:28:51 GMT 2025","119","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterUserWithSpecialChars","Register user with special characters in name","Verifies registration with special characters in name field"
"passed","Thu Oct 23 07:28:52 GMT 2025","Thu Oct 23 07:28:52 GMT 2025","107","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 07:28:50 GMT 2025","Thu Oct 23 07:28:50 GMT 2025","285","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 07:28:53 GMT 2025","Thu Oct 23 07:28:53 GMT 2025","105","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithEmptyCredentials","Login with empty credentials","Verifies API handles empty credentials appropriately"
"passed","Thu Oct 23 07:28:53 GMT 2025","Thu Oct 23 07:28:53 GMT 2025","253","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithSQLInjection","Login with SQL injection attempt","Verifies API is protected against SQL injection"
"passed","Thu Oct 23 07:28:51 GMT 2025","Thu Oct 23 07:28:51 GMT 2025","232","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterDuplicateUser","Attempt to register duplicate user","Verifies that registering the same email twice is handled correctly"
"passed","Thu Oct 23 07:28:52 GMT 2025","Thu Oct 23 07:28:52 GMT 2025","119","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 07:28:52 GMT 2025","Thu Oct 23 07:28:52 GMT 2025","105","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 07:28:53 GMT 2025","Thu Oct 23 07:28:55 GMT 2025","1602","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testMultipleFailedLoginAttempts","Multiple failed login attempts","Verifies API behavior with multiple failed login attempts"
"passed","Thu Oct 23 07:28:50 GMT 2025","Thu Oct 23 07:28:50 GMT 2025","275","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
