"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 09:22:26 GMT 2025","Thu Oct 23 09:22:29 GMT 2025","2463","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","135","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 09:22:32 GMT 2025","Thu Oct 23 09:22:33 GMT 2025","128","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithLongCredentials","Login with very long credentials","Verifies API handles very long credentials"
"passed","Thu Oct 23 09:22:29 GMT 2025","Thu Oct 23 09:22:30 GMT 2025","162","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterInvalidUsers","Register users with invalid data","Verifies proper error handling for invalid registration data"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","140","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterUserWithLongValues","Register user with very long values","Verifies registration with very long field values"
"passed","Thu Oct 23 09:22:33 GMT 2025","Thu Oct 23 09:22:33 GMT 2025","130","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginResponseStructure","Verify login response structure","Verifies login API response has correct structure and fields"
"passed","Thu Oct 23 09:22:30 GMT 2025","Thu Oct 23 09:22:30 GMT 2025","224","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterInvalidUsers","Register users with invalid data","Verifies proper error handling for invalid registration data"
"passed","Thu Oct 23 09:22:33 GMT 2025","Thu Oct 23 09:22:33 GMT 2025","641","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testMultipleFailedLoginAttempts","Multiple failed login attempts","Verifies API behavior with multiple failed login attempts"
"passed","Thu Oct 23 09:22:30 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","154","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterUserWithSpecialChars","Register user with special characters in name","Verifies registration with special characters in name field"
"passed","Thu Oct 23 09:22:32 GMT 2025","Thu Oct 23 09:22:32 GMT 2025","131","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithXSS","Login with XSS attempt","Verifies API is protected against XSS attacks"
"passed","Thu Oct 23 09:22:30 GMT 2025","Thu Oct 23 09:22:30 GMT 2025","293","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterDuplicateUser","Attempt to register duplicate user","Verifies that registering the same email twice is handled correctly"
"passed","Thu Oct 23 09:22:32 GMT 2025","Thu Oct 23 09:22:32 GMT 2025","124","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithEmptyCredentials","Login with empty credentials","Verifies API handles empty credentials appropriately"
"passed","Thu Oct 23 09:22:32 GMT 2025","Thu Oct 23 09:22:32 GMT 2025","140","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithSQLInjection","Login with SQL injection attempt","Verifies API is protected against SQL injection"
"passed","Thu Oct 23 09:22:29 GMT 2025","Thu Oct 23 09:22:29 GMT 2025","245","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","219","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 09:22:32 GMT 2025","Thu Oct 23 09:22:32 GMT 2025","467","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithValidCredentials","Login with valid credentials after registration","Verifies successful login with valid credentials"
"passed","Thu Oct 23 09:22:30 GMT 2025","Thu Oct 23 09:22:30 GMT 2025","172","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterInvalidUsers","Register users with invalid data","Verifies proper error handling for invalid registration data"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","214","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 09:22:30 GMT 2025","Thu Oct 23 09:22:30 GMT 2025","226","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterInvalidUsers","Register users with invalid data","Verifies proper error handling for invalid registration data"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:32 GMT 2025","133","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 09:22:29 GMT 2025","Thu Oct 23 09:22:29 GMT 2025","146","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 09:22:31 GMT 2025","Thu Oct 23 09:22:31 GMT 2025","124","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
